stop_name,hour_mean
24 de Agosto,205.4762993446121
Aliados,105.79465240641711
Batalha,
Bolhao,209.3108625708595
Campanha,226.47163295510606
Carolina Michaelis,112.951197053407
Casa da Musica,318.79017924386204
Combatentes,69.72245729509481
Contumil,29.71727395411606
Estadio do Dragao,111.22083460249772
Faria Guimaraes,41.48154713940371
Francos,118.93786171184892
Heroismo,46.92919235024498
Hospital de Sao Joao,129.93641088352186
I.P.O.,97.73168751015105
Lapa,50.824076534679776
Marques,147.59735576923077
Nasoni,5.1890939249429815
Nau Vitoria,7.261824324324325
Polo Universitario,77.24306326304107
Ramalde,83.28801486528337
Ribeira,
Salgueiros,49.83024497487437
Sao Bento,266.512576381981
Trindade,1088.4760982874163
Via Rapida Viso,98.08460471567268
